kind,source_section_id,source_node_id,target_section_id,target_node_id,node_name,source_size,target_size,status
screen,442:2,442:6,453:7374,453:7378,NativeEditable/P1-01 P1-01 Onboarding,390x844,390x844,MATCH
screen,442:2,442:23,453:7374,453:7395,NativeEditable/P1-02 P1-02 Login Screen,390x844,390x844,MATCH
screen,442:2,442:47,453:7374,453:7421,NativeEditable/P1-03 P1-03 Register,390x844,390x844,MATCH
screen,442:2,442:73,453:7374,453:7449,NativeEditable/P1-04 P1-04 OTP Verification,390x844,390x844,MATCH
screen,442:2,442:102,453:7374,453:7481,NativeEditable/P1-05 P1-05 Pet List,390x844,390x844,MATCH
screen,442:2,442:151,453:7374,453:7542,NativeEditable/P1-06 P1-06 Pet Form,390x844,390x844,MATCH
screen,442:2,442:198,453:7374,453:7594,NativeEditable/P1-07 P1-07 Home Screen,390x844,390x844,MATCH
screen,442:2,442:275,453:7374,453:7685,NativeEditable/P1-08 P1-08 Vet Finder Map,390x844,390x844,MATCH
screen,442:2,442:357,453:7374,453:7786,NativeEditable/P1-09 P1-09 Vet List,390x844,390x844,MATCH
screen,442:2,442:430,453:7374,453:7872,NativeEditable/P1-10 P1-10 Vet Detail,390x844,390x844,MATCH
screen,442:2,442:473,453:7374,453:7924,NativeEditable/P1-11 P1-11 Write Review,390x844,390x844,MATCH
screen,442:2,442:516,453:7374,453:7975,NativeEditable/P1-12 P1-12 Health Timeline,390x844,390x844,MATCH
screen,442:2,442:589,453:7374,453:8065,NativeEditable/P1-13 P1-13 Add Health Event,390x844,390x844,MATCH
screen,442:2,442:639,453:7374,453:8125,NativeEditable/P1-14 P1-14 Reminder Calendar,390x844,390x844,MATCH
screen,442:2,442:732,453:7374,453:8236,NativeEditable/P1-15 P1-15 Notification Center,390x844,390x844,MATCH
screen,442:2,442:792,453:7374,453:8308,NativeEditable/P1-16 P1-16 Profile Screen,390x844,390x844,MATCH
screen,442:2,442:855,453:7374,453:8384,NativeEditable/P2-01 P2-01 Rescue Home,390x844,390x844,MATCH
screen,442:2,442:908,453:7374,453:8449,NativeEditable/P2-02 P2-02 Create Lost Alert,390x844,390x844,MATCH
screen,442:2,442:949,453:7374,453:8498,NativeEditable/P2-03 P2-03 Lost Info Form,390x844,390x844,MATCH
screen,442:2,442:984,453:7374,453:8536,NativeEditable/P2-04 P2-04 Case Detail,390x844,390x844,MATCH
screen,442:2,442:1016,453:7374,453:8572,NativeEditable/P2-05 P2-05 Rescue Map,390x844,390x844,MATCH
screen,442:2,442:1076,453:7374,453:8638,NativeEditable/P2-06 P2-06 Case Comment,390x844,390x844,MATCH
screen,442:2,442:1120,453:7374,453:8687,NativeEditable/P2-07 P2-07 Case Status Update,390x844,390x844,MATCH
screen,442:2,442:1167,453:7374,453:8740,NativeEditable/P2-08 P2-08 Case Discussion,390x844,390x844,MATCH
screen,442:2,442:1235,453:7374,453:8824,NativeEditable/P2-09 P2-09 Adoption Swipe Deck,390x844,390x844,MATCH
screen,442:2,442:1288,453:7374,453:8889,NativeEditable/P2-10 P2-10 Adoption Profile,390x844,390x844,MATCH
screen,442:2,442:1330,453:7374,453:8941,NativeEditable/P2-11 P2-11 Adoption Request Form,390x844,390x844,MATCH
screen,442:2,442:1368,453:7374,453:8983,NativeEditable/P2-12 P2-12 Shelter Chat,390x844,390x844,MATCH
screen,442:2,442:1408,453:7374,453:9029,NativeEditable/P2-13 P2-13 Health Hub,390x844,390x844,MATCH
screen,442:2,442:1486,453:7374,453:9121,NativeEditable/P2-14 P2-14 Notification Preferences,390x844,390x844,MATCH
screen,442:2,442:1527,453:7374,453:9164,NativeEditable/P2-15 P2-15 Privacy Defaults,390x844,390x844,MATCH
screen,442:2,442:1567,453:7374,453:9207,NativeEditable/P2-16 P2-16 Profile Controls,390x844,390x844,MATCH
screen,442:2,442:1633,453:7374,453:9289,NativeEditable/ST-01 ST-01 Offline Full Screen,390x844,390x844,MATCH
screen,442:2,442:1664,453:7374,453:9330,NativeEditable/ST-02 ST-02 Network Error Retry,390x844,390x844,MATCH
screen,442:2,442:1707,453:7374,453:9382,NativeEditable/ST-03 ST-03 Loading Skeleton,390x844,390x844,MATCH
screen,442:2,442:1758,453:7374,453:9442,NativeEditable/ST-04 ST-04 Empty First Pet,390x844,390x844,MATCH
screen,442:2,442:1793,453:7374,453:9487,NativeEditable/ST-05 ST-05 Empty Nearby Rescue,390x844,390x844,MATCH
screen,442:2,442:1839,453:7374,453:9543,NativeEditable/ST-06 ST-06 Vet Search No Results,390x844,390x844,MATCH
screen,442:2,442:1882,453:7374,453:9598,NativeEditable/ST-07 ST-07 Login Success,390x844,390x844,MATCH
screen,442:2,442:1892,453:7374,453:9608,NativeEditable/ST-08 ST-08 Login Failure,390x844,390x844,MATCH
screen,442:2,442:1918,453:7374,453:9638,NativeEditable/ST-09 ST-09 Register Success,390x844,390x844,MATCH
